Objeto,Ângulo (º),Distância (m),Altura (m),Tempo (s),Velocidade média (m/s)
cilindro,08.04,0.7954530776,0.111,1.152,0.6904974632
cilindro,08.04,0.7954530776,0.111,1.146,0.6941126331
cilindro,08.04,0.7954530776,0.111,1.16,0.6857354117
cilindro,08.04,0.7954530776,0.111,1.147,0.6935074783
cilindro,08.04,0.7954530776,0.111,1.195,0.665651111
cilindro,08.04,0.7954530776,0.111,1.136,0.7002227796
Aro,9.43,0.5905547849,0.097,1.015,0.5818273743
Aro,9.43,0.5905547849,0.097,1.048,0.5635064742
Aro,9.43,0.5905547849,0.097,0.982,0.601379618
Aro,9.43,0.5905547849,0.097,0.999,0.5911459308
Aro,9.43,0.5905547849,0.097,1.017,0.580683171
Aro,9.43,0.5905547849,0.097,1.043,0.5662078475
Aro,9.43,0.5905547849,0.097,0.984,0.6001573017
Aro,9.43,0.5905547849,0.097,1.005,0.5876167014
Aro,9.43,0.5905547849,0.097,1.011,0.5841293619
Aro,9.43,0.5905547849,0.097,1.017,0.580683171
esfera,9.43,0.5905547849,0.097,0.855,0.6907073508
esfera,9.43,0.5905547849,0.097,0.906,0.6518264734
esfera,9.43,0.5905547849,0.097,0.872,0.6772417258
esfera,9.43,0.5905547849,0.097,0.875,0.6749197542
esfera,9.43,0.5905547849,0.097,0.893,0.6613155486
esfera,9.43,0.5905547849,0.097,0.866,0.6819339318
esfera,9.43,0.5905547849,0.097,0.86,0.6866916104
esfera,9.43,0.5905547849,0.097,0.93,0.6350051451
esfera,9.43,0.5905547849,0.097,0.97,0.6088193659
esfera,9.43,0.5905547849,0.097,0.89,0.6635447022
cilindro,9.43,0.5905547849,0.097,0.906,0.6518264734
cilindro,9.43,0.5905547849,0.097,0.911,0.6482489406
cilindro,9.43,0.5905547849,0.097,0.902,0.6547170564
cilindro,9.43,0.5905547849,0.097,0.898,0.6576333908
cilindro,9.43,0.5905547849,0.097,0.909,0.6496752309
cilindro,9.43,0.5905547849,0.097,0.924,0.6391285551
cilindro,9.43,0.5905547849,0.097,0.904,0.6532685674
cilindro,9.43,0.5905547849,0.097,0.904,0.6532685674
cilindro,9.43,0.5905547849,0.097,0.924,0.6391285551
cilindro,9.43,0.5905547849,0.097,0.907,0.6511078114
Aro,9.43,0.554025623,0.091,0.986,0.5618921125
Aro,9.43,0.554025623,0.091,0.983,0.563606941
Aro,9.43,0.554025623,0.091,0.967,0.5729323919
Aro,9.43,0.554025623,0.091,0.985,0.5624625614
Aro,9.43,0.554025623,0.091,0.975,0.5682314082
Aro,9.43,0.554025623,0.091,0.986,0.5618921125
Aro,9.43,0.554025623,0.091,0.968,0.5723405196
Aro,9.43,0.554025623,0.091,0.977,0.5670681914
Aro,9.43,0.554025623,0.091,0.968,0.5723405196
Aro,9.43,0.554025623,0.091,0.992,0.5584935715
esfera,9.43,0.554025623,0.091,0.876,0.6324493413
esfera,9.43,0.554025623,0.091,0.831,0.6666975006
esfera,9.43,0.554025623,0.091,0.841,0.658770063
esfera,9.43,0.554025623,0.091,0.86,0.6442158407
esfera,9.43,0.554025623,0.091,0.859,0.6449658009
esfera,9.43,0.554025623,0.091,0.845,0.6556516248
esfera,9.43,0.554025623,0.091,0.836,0.6627100753
esfera,9.43,0.554025623,0.091,0.857,0.646470972
esfera,9.43,0.554025623,0.091,0.821,0.6748180548
esfera,9.43,0.554025623,0.091,0.798,0.6942676979
cilindro,9.43,0.554025623,0.091,0.856,0.647226195
cilindro,9.43,0.554025623,0.091,0.848,0.6533321025
cilindro,9.43,0.554025623,0.091,0.847,0.654103451
cilindro,9.43,0.554025623,0.091,0.846,0.6548766229
cilindro,9.43,0.554025623,0.091,0.843,0.6572071447
cilindro,9.43,0.554025623,0.091,0.822,0.6739971082
cilindro,9.43,0.554025623,0.091,0.848,0.6533321025
cilindro,9.43,0.554025623,0.091,0.827,0.6699221559
cilindro,9.43,0.554025623,0.091,0.859,0.6449658009
cilindro,9.43,0.554025623,0.091,0.842,0.6579876757
Aro,9.43,0.5235846547,0.086,0.896,0.5843578735
Aro,9.43,0.5235846547,0.086,0.936,0.5593853148
Aro,9.43,0.5235846547,0.086,0.965,0.5425747717
Aro,9.43,0.5235846547,0.086,0.937,0.5587883187
Aro,9.43,0.5235846547,0.086,0.934,0.560583142
Aro,9.43,0.5235846547,0.086,0.954,0.5488308749
Aro,9.43,0.5235846547,0.086,0.957,0.547110402
Aro,9.43,0.5235846547,0.086,0.94,0.5570049518
Aro,9.43,0.5235846547,0.086,0.96,0.5454006819
Aro,9.43,0.5235846547,0.086,0.965,0.5425747717
esfera,9.43,0.5235846547,0.086,0.789,0.6636053925
esfera,9.43,0.5235846547,0.086,0.784,0.6678375697
esfera,9.43,0.5235846547,0.086,0.803,0.6520356845
esfera,9.43,0.5235846547,0.086,0.786,0.6661382375
esfera,9.43,0.5235846547,0.086,0.786,0.6661382375
esfera,9.43,0.5235846547,0.086,0.812,0.644808688
esfera,9.43,0.5235846547,0.086,0.788,0.6644475313
esfera,9.43,0.5235846547,0.086,0.829,0.6315858319
esfera,9.43,0.5235846547,0.086,0.829,0.6315858319
esfera,9.43,0.5235846547,0.086,0.819,0.6392975026
cilindro,9.43,0.5235846547,0.086,0.842,0.6218345067
cilindro,9.43,0.5235846547,0.086,0.861,0.6081122586
cilindro,9.43,0.5235846547,0.086,0.845,0.6196268103
cilindro,9.43,0.5235846547,0.086,0.855,0.6123797131
cilindro,9.43,0.5235846547,0.086,0.854,0.6130967853
cilindro,9.43,0.5235846547,0.086,0.855,0.6123797131
cilindro,9.43,0.5235846547,0.086,0.852,0.6145359797
cilindro,9.43,0.5235846547,0.086,0.857,0.6109505889
cilindro,9.43,0.5235846547,0.086,0.852,0.6145359797
cilindro,9.43,0.5235846547,0.086,0.853,0.6138155389
Aro,9.43,0.4931436864,0.081,0.921,0.535443742
Aro,9.43,0.4931436864,0.081,0.906,0.5443087046
Aro,9.43,0.4931436864,0.081,0.92,0.5360257461
Aro,9.43,0.4931436864,0.081,0.904,0.5455129274
Aro,9.43,0.4931436864,0.081,0.937,0.5263006258
Aro,9.43,0.4931436864,0.081,0.914,0.5395445146
Aro,9.43,0.4931436864,0.081,0.927,0.5319780867
Aro,9.43,0.4931436864,0.081,0.924,0.5337052883
Aro,9.43,0.4931436864,0.081,0.931,0.5296924666
Aro,9.43,0.4931436864,0.081,0.915,0.5389548485
esfera,9.43,0.4931436864,0.081,0.753,0.654905294
esfera,9.43,0.4931436864,0.081,0.793,0.621870979
esfera,9.43,0.4931436864,0.081,0.747,0.6601655775
esfera,9.43,0.4931436864,0.081,0.804,0.613362794
esfera,9.43,0.4931436864,0.081,0.808,0.6103263445
esfera,9.43,0.4931436864,0.081,0.784,0.629009804
esfera,9.43,0.4931436864,0.081,0.826,0.5970262547
esfera,9.43,0.4931436864,0.081,0.778,0.6338607794
esfera,9.43,0.4931436864,0.081,0.824,0.5984753475
esfera,9.43,0.4931436864,0.081,0.78,0.6322354953
cilindro,9.43,0.4931436864,0.081,0.806,0.611840802
cilindro,9.43,0.4931436864,0.081,0.819,0.6021290432
cilindro,9.43,0.4931436864,0.081,0.784,0.629009804
cilindro,9.43,0.4931436864,0.081,0.794,0.6210877662
cilindro,9.43,0.4931436864,0.081,0.819,0.6021290432
cilindro,9.43,0.4931436864,0.081,0.803,0.6141266331
cilindro,9.43,0.4931436864,0.081,0.806,0.611840802
cilindro,9.43,0.4931436864,0.081,0.802,0.614892377
cilindro,9.43,0.4931436864,0.081,0.796,0.6195272442
cilindro,9.43,0.4931436864,0.081,0.808,0.6103263445
Aro,9.43,0.4627027181,0.076,0.886,0.5222378308
Aro,9.43,0.4627027181,0.076,0.892,0.5187250203
Aro,9.43,0.4627027181,0.076,0.879,0.5263967214
Aro,9.43,0.4627027181,0.076,0.865,0.5349164371
Aro,9.43,0.4627027181,0.076,0.867,0.5336824891
Aro,9.43,0.4627027181,0.076,0.917,0.5045831168
Aro,9.43,0.4627027181,0.076,0.897,0.5158335765
Aro,9.43,0.4627027181,0.076,0.9,0.5141141312
Aro,9.43,0.4627027181,0.076,0.887,0.5216490621
Aro,9.43,0.4627027181,0.076,0.894,0.5175645616
esfera,9.43,0.4627027181,0.076,0.777,0.5954989937
esfera,9.43,0.4627027181,0.076,0.766,0.6040505458
esfera,9.43,0.4627027181,0.076,0.744,0.6219122555
esfera,9.43,0.4627027181,0.076,0.766,0.6040505458
esfera,9.43,0.4627027181,0.076,0.767,0.6032629962
esfera,9.43,0.4627027181,0.076,0.755,0.6128512822
esfera,9.43,0.4627027181,0.076,0.797,0.5805554807
esfera,9.43,0.4627027181,0.076,0.75,0.6169369574
esfera,9.43,0.4627027181,0.076,0.713,0.6489519188
esfera,9.43,0.4627027181,0.076,0.73,0.6338393398
cilindro,9.43,0.4627027181,0.076,0.762,0.6072214148
cilindro,9.43,0.4627027181,0.076,0.772,0.5993558524
cilindro,9.43,0.4627027181,0.076,0.776,0.5962663893
cilindro,9.43,0.4627027181,0.076,0.741,0.6244301189
cilindro,9.43,0.4627027181,0.076,0.747,0.6194146159
cilindro,9.43,0.4627027181,0.076,0.75,0.6169369574
cilindro,9.43,0.4627027181,0.076,0.774,0.5978071293
cilindro,9.43,0.4627027181,0.076,0.795,0.5820159976
cilindro,9.43,0.4627027181,0.076,0.796,0.5812848217
cilindro,9.43,0.4627027181,0.076,0.793,0.5834838816
Aro,7.52,0.7502355613,0.098,1.331,0.5636630814
Aro,7.52,0.7502355613,0.098,1.33,0.5640868882
Aro,7.52,0.7502355613,0.098,1.323,0.5670714749
Aro,7.52,0.7502355613,0.098,1.341,0.5594597773
Aro,7.52,0.7502355613,0.098,1.342,0.5590428922
Aro,7.52,0.7502355613,0.098,1.336,0.5615535639
Aro,7.52,0.7502355613,0.098,1.33,0.5640868882
Aro,7.52,0.7502355613,0.098,1.334,0.5623954733
Aro,7.52,0.7502355613,0.098,1.337,0.5611335537
Aro,7.52,0.7502355613,0.098,1.33,0.5640868882
esfera,7.52,0.7502355613,0.098,1.125,0.6668760545
esfera,7.52,0.7502355613,0.098,1.127,0.665692601
esfera,7.52,0.7502355613,0.098,1.185,0.6331101784
esfera,7.52,0.7502355613,0.098,1.119,0.6704517975
esfera,7.52,0.7502355613,0.098,1.168,0.6423249669
esfera,7.52,0.7502355613,0.098,1.192,0.6293922495
esfera,7.52,0.7502355613,0.098,1.185,0.6331101784
esfera,7.52,0.7502355613,0.098,1.164,0.6445322692
esfera,7.52,0.7502355613,0.098,1.189,0.6309802871
esfera,7.52,0.7502355613,0.098,1.188,0.6315114153
cilindro,7.52,0.7502355613,0.098,1.181,0.6352544973
cilindro,7.52,0.7502355613,0.098,1.172,0.6401327315
cilindro,7.52,0.7502355613,0.098,1.2,0.6251963011
cilindro,7.52,0.7502355613,0.098,1.196,0.6272872587
cilindro,7.52,0.7502355613,0.098,1.175,0.6384983501
cilindro,7.52,0.7502355613,0.098,1.188,0.6315114153
cilindro,7.52,0.7502355613,0.098,1.185,0.6331101784
cilindro,7.52,0.7502355613,0.098,1.186,0.6325763586
cilindro,7.52,0.7502355613,0.098,1.189,0.6309802871
cilindro,7.52,0.7502355613,0.098,1.187,0.6320434384
Aro,7.52,0.7119582368,0.093,1.273,0.5592759126
Aro,7.52,0.7119582368,0.093,1.299,0.5480817835
Aro,7.52,0.7119582368,0.093,1.289,0.5523337756
Aro,7.52,0.7119582368,0.093,1.297,0.5489269366
Aro,7.52,0.7119582368,0.093,1.284,0.5544846081
Aro,7.52,0.7119582368,0.093,1.285,0.5540531026
Aro,7.52,0.7119582368,0.093,1.298,0.5485040345
Aro,7.52,0.7119582368,0.093,1.311,0.5430650166
Aro,7.52,0.7119582368,0.093,1.311,0.5430650166
Aro,7.52,0.7119582368,0.093,1.284,0.5544846081
esfera,7.52,0.7119582368,0.093,1.124,0.6334148014
esfera,7.52,0.7119582368,0.093,1.136,0.6267238
esfera,7.52,0.7119582368,0.093,01.08,0.6592205896
esfera,7.52,0.7119582368,0.093,1.086,0.6555784869
esfera,7.52,0.7119582368,0.093,1.079,0.6598315448
esfera,7.52,0.7119582368,0.093,1.079,0.6598315448
esfera,7.52,0.7119582368,0.093,1.147,0.6207133712
esfera,7.52,0.7119582368,0.093,1.091,0.6525740026
esfera,7.52,0.7119582368,0.093,1.094,0.6507844943
esfera,7.52,0.7119582368,0.093,1.141,0.6239774205
cilindro,7.52,0.7119582368,0.093,1.138,0.6256223522
cilindro,7.52,0.7119582368,0.093,1.136,0.6267238
cilindro,7.52,0.7119582368,0.093,1.146,0.6212550059
cilindro,7.52,0.7119582368,0.093,1.132,0.6289383717
cilindro,7.52,0.7119582368,0.093,1.147,0.6207133712
cilindro,7.52,0.7119582368,0.093,1.141,0.6239774205
cilindro,7.52,0.7119582368,0.093,1.135,0.6272759795
cilindro,7.52,0.7119582368,0.093,1.141,0.6239774205
cilindro,7.52,0.7119582368,0.093,1.148,0.6201726801
cilindro,7.52,0.7119582368,0.093,1.135,0.6272759795
Aro,7.52,0.6736809122,0.088,1.241,0.5428532734
Aro,7.52,0.6736809122,0.088,1.25,0.5389447298
Aro,7.52,0.6736809122,0.088,1.231,0.5472631294
Aro,7.52,0.6736809122,0.088,1.244,0.5415441417
Aro,7.52,0.6736809122,0.088,1.245,0.5411091665
Aro,7.52,0.6736809122,0.088,1.235,0.5454906172
Aro,7.52,0.6736809122,0.088,1.252,0.5380837957
Aro,7.52,0.6736809122,0.088,1.231,0.5472631294
Aro,7.52,0.6736809122,0.088,1.25,0.5389447298
Aro,7.52,0.6736809122,0.088,1.226,0.5494950344
esfera,7.52,0.6736809122,0.088,1.094,0.6157960806
esfera,7.52,0.6736809122,0.088,1.125,0.5988274775
esfera,7.52,0.6736809122,0.088,1.108,0.6080152637
esfera,7.52,0.6736809122,0.088,1.074,0.6272634192
esfera,7.52,0.6736809122,0.088,1.041,0.6471478504
esfera,7.52,0.6736809122,0.088,1.077,0.6255161673
esfera,7.52,0.6736809122,0.088,1.122,0.6004286205
esfera,7.52,0.6736809122,0.088,1.122,0.6004286205
esfera,7.52,0.6736809122,0.088,1.125,0.5988274775
esfera,7.52,0.6736809122,0.088,01.05,0.6416008688
cilindro,7.52,0.6736809122,0.088,1.096,0.6146723652
cilindro,7.52,0.6736809122,0.088,1.096,0.6146723652
cilindro,7.52,0.6736809122,0.088,1.11,0.6069197407
cilindro,7.52,0.6736809122,0.088,1.119,0.6020383487
cilindro,7.52,0.6736809122,0.088,1.13,0.5961777984
cilindro,7.52,0.6736809122,0.088,1.106,0.6091147489
cilindro,7.52,0.6736809122,0.088,1.109,0.6074670083
cilindro,7.52,0.6736809122,0.088,1.089,0.6186234272
cilindro,7.52,0.6736809122,0.088,1.093,0.6163594805
cilindro,7.52,0.6736809122,0.088,1.106,0.6091147489
Aro,7.52,0.6354035877,0.083,1.229,0.5170086149
Aro,7.52,0.6354035877,0.083,1.247,0.50954578
Aro,7.52,0.6354035877,0.083,1.234,0.5149137663
Aro,7.52,0.6354035877,0.083,1.232,0.5157496653
Aro,7.52,0.6354035877,0.083,1.209,0.5255612801
Aro,7.52,0.6354035877,0.083,1.233,0.5153313769
Aro,7.52,0.6354035877,0.083,1.225,0.5186968063
Aro,7.52,0.6354035877,0.083,1.236,0.5140805726
Aro,7.52,0.6354035877,0.083,1.226,0.5182737257
Aro,7.52,0.6354035877,0.083,1.219,0.5212498668
esfera,7.52,0.6354035877,0.083,1.077,0.589975476
esfera,7.52,0.6354035877,0.083,1.078,0.5894281889
esfera,7.52,0.6354035877,0.083,1.084,0.5861656713
esfera,7.52,0.6354035877,0.083,1.012,0.6278691578
esfera,7.52,0.6354035877,0.083,1.085,0.5856254264
esfera,7.52,0.6354035877,0.083,1.042,0.6097923106
esfera,7.52,0.6354035877,0.083,1.094,0.580807667
esfera,7.52,0.6354035877,0.083,1.023,0.6211178765
esfera,7.52,0.6354035877,0.083,1.035,0.6139165098
esfera,7.52,0.6354035877,0.083,1.059,0.6000033878
cilindro,7.52,0.6354035877,0.083,1.077,0.589975476
cilindro,7.52,0.6354035877,0.083,1.092,0.5818714173
cilindro,7.52,0.6354035877,0.083,1.063,0.597745614
cilindro,7.52,0.6354035877,0.083,1.083,0.5867069138
cilindro,7.52,0.6354035877,0.083,1.065,0.596623087
cilindro,7.52,0.6354035877,0.083,1.072,0.5927272273
cilindro,7.52,0.6354035877,0.083,1.068,0.5949471795
cilindro,7.52,0.6354035877,0.083,1.072,0.5927272273
cilindro,7.52,0.6354035877,0.083,1.076,0.5905237804
cilindro,7.52,0.6354035877,0.083,1.085,0.5856254264
Aro,7.52,0.5971262631,0.078,1.146,0.5210525856
Aro,7.52,0.5971262631,0.078,1.152,0.5183387701
Aro,7.52,0.5971262631,0.078,1.145,0.5215076534
Aro,7.52,0.5971262631,0.078,1.157,0.5160987581
Aro,7.52,0.5971262631,0.078,1.169,0.5108009094
Aro,7.52,0.5971262631,0.078,1.186,0.5034791426
Aro,7.52,0.5971262631,0.078,1.168,0.511238239
Aro,7.52,0.5971262631,0.078,1.162,0.5138780233
Aro,7.52,0.5971262631,0.078,1.167,0.511676318
Aro,7.52,0.5971262631,0.078,1.151,0.5187891078
esfera,7.52,0.5971262631,0.078,0.957,0.6239563878
esfera,7.52,0.5971262631,0.078,1.017,0.5871448015
esfera,7.52,0.5971262631,0.078,0.992,0.6019417975
esfera,7.52,0.5971262631,0.078,0.973,0.6136960566
esfera,7.52,0.5971262631,0.078,1.022,0.5842722731
esfera,7.52,0.5971262631,0.078,0.967,0.6175038915
esfera,7.52,0.5971262631,0.078,1.027,0.5814277148
esfera,7.52,0.5971262631,0.078,0.988,0.6043788088
esfera,7.52,0.5971262631,0.078,0.97,0.6155940857
esfera,7.52,0.5971262631,0.078,0.945,0.6318796435
cilindro,7.52,0.5971262631,0.078,1.017,0.5871448015
cilindro,7.52,0.5971262631,0.078,1.035,0.5769335875
cilindro,7.52,0.5971262631,0.078,1.034,0.5774915504
cilindro,7.52,0.5971262631,0.078,1.042,0.5730578341
cilindro,7.52,0.5971262631,0.078,1.022,0.5842722731
cilindro,7.52,0.5971262631,0.078,1.018,0.5865680384
cilindro,7.52,0.5971262631,0.078,1.027,0.5814277148
cilindro,7.52,0.5971262631,0.078,1.027,0.5814277148
cilindro,7.52,0.5971262631,0.078,1.034,0.5774915504
cilindro,7.52,0.5971262631,0.078,1.029,0.5802976318